Month,Wood Energy Consumption In Industrial Sector,Wood Energy Consumption In Residential Sector,Wood Energy Consumption In Commercial Sector,Wood Energy Consumption In Electric Power Sector,Solar Energy Consumption In Industrial Sector,Solar Energy Consumption In Residential Sector,Solar Energy Consumption In Commercial Sector,Solar Energy Consumption In Electric Power Sector,BioMass Energy Consumption In Industrial Sector,BioMass Energy Consumption In Residential Sector,BioMass Energy Consumption In Commercial Sector,BioMass Energy Consumption In Electric Power Sector,Other Bio Fuels Energy Consumption In Industrial Sector,Other Bio Fuels Energy Consumption In Residential Sector,Other Bio Fuels Energy Consumption In Commercial Sector,Other Bio Fuels Energy Consumption In Electric Power Sector,Wood Energy Production,Solar Energy Production,BioMass Energy Production,Other Bio Fuel Energy Production,Wood Energy Production Cost,Solar Energy Production Cost,BioMass Energy Production Cost,Other Bio Fuel Energy Production Cost,Wood Cost,Biomass Cost,Other Bio Fuel Cosst,,,
Jan-10,117826,45908,6083,17362,157,3506,709,96,192630,0,9308,38597,128,176,773,120,211513,5496,281426,1374,10,21,8,11,9,6,16,,,
Feb-10,108510,41465,5493,16329,170,3779,764,320,177349,0,8300,36072,245,152,1872,260,151182,5788,215070,2730,10,20,8,11,9,7,16,,,
Mar-10,118792,45908,6077,16444,234,5207,1053,740,195381,0,9379,38871,316,209,1980,637,142288,5498,309412,2701,10,21,10,11,11,15,14,,,
Apr-10,113941,44427,5884,14876,258,5739,1161,1094,188055,0,9371,36319,310,115,1289,963,179128,7427,196346,2757,10,21,10,10,8,13,12,,,
May-10,115531,45908,6079,14270,286,6335,1282,1492,190798,0,9959,35980,286,317,1308,1865,223600,10993,187023,4229,10,22,10,10,8,12,8,,,
Jun-10,115927,44427,5887,16205,289,6392,1300,1708,189234,0,9350,38724,414,128,1833,1760,178798,11240,237308,4134,10,22,10,11,10,14,16,,,
Jul-10,119887,45908,6088,17274,302,6711,1364,1566,196093,0,9476,40023,339,269,2046,1300,242121,8353,265240,4190,10,22,10,11,11,12,12,,,
Aug-10,120531,45908,6086,17996,300,6641,1349,1518,197576,0,9603,40689,300,333,1606,1746,215289,12162,205731,3625,11,22,10,11,10,12,16,,,
Sep-10,118543,44427,5886,16067,273,6057,1230,1335,192887,0,9105,37790,358,182,2362,1816,157185,9607,290137,5896,11,23,11,11,11,15,14,,,
Oct-10,118699,45908,6075,14985,248,5520,1120,731,198095,0,9058,36598,318,166,2733,980,185667,9143,214501,3189,11,22,10,11,12,14,12,,,
Nov-10,117205,44427,5891,16297,204,4528,919,745,197072,0,8820,39011,180,91,1443,634,156247,7676,257149,2722,11,22,11,12,11,13,13,,,
Dec-10,123608,45908,6089,17490,194,4298,883,418,205142,0,9153,40698,162,129,1493,314,164131,5909,201445,1740,12,23,11,12,10,13,11,,,
Jan-11,126322,44526,5881,16907,257,3835,1176,363,207060,0,9456,37437,327,77,1329,353,160718,6870,218400,1689,11,23,11,12,12,14,9,,,
Feb-11,112012,40217,5327,15547,278,4134,1283,786,184222,0,8653,34830,404,83,1835,716,140214,5056,216320,3249,12,18,11,12,10,10,12,,,
Mar-11,120766,44526,5859,15293,383,5696,1766,1130,200554,0,9517,36202,403,114,2932,1695,141698,10681,273364,5349,12,18,10,9,11,14,11,,,
Apr-11,115095,43090,5706,11949,423,6278,1967,1509,189617,0,9243,31636,436,314,3246,1706,144189,10381,193617,4276,10,18,9,10,8,8,11,,,
May-11,114346,44526,5861,13181,468,6931,2175,1755,191999,0,9742,33708,548,208,2502,1562,144111,10423,263703,4964,10,19,9,10,9,8,9,,,
Jun-11,119729,43090,5697,15634,475,6993,2213,2044,196070,0,9650,37178,532,140,3851,2024,204407,9029,269617,7856,10,19,10,9,10,15,12,,,
Jul-11,121910,44526,5901,16960,497,7341,2301,1755,199307,0,9869,39318,448,368,4027,2194,200655,10229,278314,8020,10,20,9,10,12,8,11,,,
Aug-11,121916,44526,5874,17169,492,7265,2287,2115,200526,0,9987,39420,468,218,4735,2792,159168,14470,242436,8951,10,19,9,10,9,8,14,,,
Sep-11,119355,43090,5665,15493,448,6626,2067,1723,194421,0,9470,36554,592,67,3680,1586,174423,8583,213997,4442,10,20,10,10,9,10,12,,,
Oct-11,118367,44526,5821,14041,408,6039,1885,1469,198456,0,9594,35571,478,61,2545,1587,164480,10390,182716,5790,10,20,10,10,9,15,15,,,
Nov-11,120933,43090,5677,13667,333,4954,1528,1001,201645,0,9609,35690,353,248,2109,861,232877,9380,279047,4320,11,20,10,10,13,8,12,,,
Dec-11,126887,44526,5892,16318,316,4702,1450,1133,210876,0,9810,39182,241,189,2436,1587,230412,8742,202698,3783,11,20,10,10,10,10,15,,,
Jan-12,125726,37106,5138,16837,421,4271,1907,868,205492,0,9115,38543,320,214,3776,730,173719,9558,194926,5089,11,21,10,10,9,8,10,,,
Feb-12,118018,34712,4812,16026,454,4604,2070,1229,192318,0,8633,35916,591,47,2340,1193,192661,7689,291347,4210,11,21,10,10,11,15,9,,,
